held_out_group,n_train,n_test,r2,mae
aggregation_heavy,3360,640,0.8884653881518466,0.21528453456498683
high_skew,3648,352,0.9550705188367405,0.16758071197501637
join_heavy,1184,2816,0.8698660352260419,0.2465639474737712
simple_scan,3808,192,0.877257890836867,0.1716154537655413
